2023-12-18 00:48:27.505 [info] Extension host with pid 943 started
2023-12-18 00:48:27.505 [error] Error: EEXIST: file already exists, open '/home/by1094/.vscode-server/data/User/workspaceStorage/601063d86ab00c0ad208c76d38f19f47/vscode.lock'
2023-12-18 00:48:27.515 [info] Lock '/home/by1094/.vscode-server/data/User/workspaceStorage/601063d86ab00c0ad208c76d38f19f47/vscode.lock': Could not acquire lock, checking if the file is stale.
2023-12-18 00:48:27.520 [info] Lock '/home/by1094/.vscode-server/data/User/workspaceStorage/601063d86ab00c0ad208c76d38f19f47/vscode.lock': The pid 1000 appears to be gone.
2023-12-18 00:48:27.520 [info] Lock '/home/by1094/.vscode-server/data/User/workspaceStorage/601063d86ab00c0ad208c76d38f19f47/vscode.lock': Deleting a stale lock.
2023-12-18 00:48:27.560 [info] Lock '/home/by1094/.vscode-server/data/User/workspaceStorage/601063d86ab00c0ad208c76d38f19f47/vscode.lock': Lock acquired.
2023-12-18 00:48:27.669 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: false, activationEvent: 'onFileSystem:git', root cause: vscode.git
2023-12-18 00:48:27.670 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2023-12-18 00:48:27.908 [info] ExtensionService#_doActivateExtension vscode.git, startup: false, activationEvent: 'onFileSystem:git'
2023-12-18 00:48:28.135 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2023-12-18 00:48:28.186 [info] ExtensionService#_doActivateExtension vscode.npm, startup: true, activationEvent: 'workspaceContains:package.json'
2023-12-18 00:48:28.768 [info] Eager extensions activated
2023-12-18 00:48:28.769 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2023-12-18 00:48:28.769 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2023-12-18 00:48:28.769 [info] ExtensionService#_doActivateExtension dbaeumer.vscode-eslint, startup: false, activationEvent: 'onStartupFinished'
2023-12-18 00:48:28.770 [info] ExtensionService#_doActivateExtension esbenp.prettier-vscode, startup: false, activationEvent: 'onStartupFinished'
2023-12-18 00:48:28.770 [info] ExtensionService#_doActivateExtension tonybaloney.vscode-pets, startup: false, activationEvent: 'onStartupFinished'
2023-12-18 01:04:40.831 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2023-12-18 01:04:40.831 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
2023-12-18 01:04:57.800 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
